;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal;  113,5;  0,44;-0,39;  0,83;  8,0;  11,9;  3,5;  1,8;  38,0;  6,2;  1,43;  40,2;  60,2;  26,7;;PT;;;;;;PT;x;;;
 Continente;  111,9;  0,45;-0,39;  0,84;  8,0;  11,9;  3,5;  1,7;  38,2;  6,1;  1,44;  40,0;  60,2;  26,7;;1;x;;;;;1;x;;;
  Norte;  170,6;  0,59;-0,35;  0,94;  7,3;  10,7;  3,6;  1,8;  34,3;  3,8;  1,28;  40,4;  54,6;  33,9;;11;;x;;;;11;;x;;
   Alto Minho;  104,7;  0,15;-0,74;  0,89;  6,7;  14,2;  3,5;  1,7;  34,7;  4,2;  1,34;  36,5;  57,4;  37,2;;111;;;x;;;111;;;x;
Arcos de Valdevez;  46,2;  0,00;-1,20;  1,20;  5,5;  17,5;  2,5;  1,9;  32,1;x;x;  31,6;  46,9;  15,4;;1111601;;;;x;;1111601;;;;x
Caminha;  118,0;  1,04;-0,71;  1,75;  6,1;  13,2;  4,0;  2,1;  32,1;x;x;  35,4;  57,7;  26,6;;1111602;;;;x;;1111602;;;;x
Melgaço;  31,9;-  1,18;-2,18;  1,01;  2,6;  24,5;  0,7;  1,7;  19,3;x;x;  24,7;  65,0;  40,0;;1111603;;;;x;;1111603;;;;x
Monção;  84,6;  0,11;-1,11;  1,22;  6,6;  17,7;  3,3;  1,4;  38,5;x;x;  31,8;  67,8;  35,6;;1111604;;;;x;;1111604;;;;x
Paredes de Coura;  62,7;-  0,17;-1,11;  0,93;  5,2;  16,3;  2,0;  1,7;  28,8;x;x;  34,9;  57,8;  47,1;;1111605;;;;x;;1111605;;;;x
Ponte da Barca;  60,9;  0,40;-0,80;  1,20;  7,8;  15,8;  3,4;  1,6;  41,4;x;x;  35,4;  50,0;  34,2;;1111606;;;;x;;1111606;;;;x
Ponte de Lima;  128,0;-  0,35;-0,64;  0,28;  7,0;  13,4;  3,9;  1,8;  33,6;x;x;  39,4;  46,3;  43,8;;1111607;;;;x;;1111607;;;;x
Valença;  118,7;  0,71;-0,69;  1,40;  7,5;  14,4;  2,2;  2,0;  36,6;x;x;  38,9;  62,5;  25,8;;1111608;;;;x;;1111608;;;;x
Viana do Castelo;  269,9;  0,11;-0,45;  0,56;  7,3;  11,8;  4,0;  1,7;  36,1;x;x;  38,2;  61,3;  42,6;;1111609;;;;x;;1111609;;;;x
Vila Nova de Cerveira;  84,6;  1,86;-0,72;  2,57;  6,6;  13,8;  5,3;  1,0;  34,0;x;x;  38,2;  68,3;  22,9;;1111610;;;;x;;1111610;;;;x
   Cávado;  339,8;  0,84;-0,08;  0,92;  8,0;  8,8;  3,9;  1,7;  35,3;  3,1;  1,32;  43,3;  48,2;  39,8;;112;;;x;;;112;;;x;
Amares;  234,2;  1,71;-0,26;  1,97;  6,5;  9,0;  4,2;  2,2;  29,4;x;x;  42,7;  46,3;  30,4;;1120301;;;;x;;1120301;;;;x
