;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal;  14,1;  1,37;  47,0;  185,6;  75,2;  38,0;  48,7;  91,5;  123,8;  30,3;  33,7;  35,1;  80,96;  19,61;;PT;x;;;
 Continente;  14,4;  1,41;  47,1;  188,0;  75,1;  38,5;  48,9;  91,5;  124,4;  30,4;  33,8;  35,1;  81,07;  19,67;;1;x;;;
  Norte;  11,0;  0,73;  47,4;  191,6;  73,4;  36,3;  46,4;  92,0;  114,3;  30,8;  32,8;  34,0;  81,53;  19,88;;11;;x;;
   Alto Minho;  11,3;  0,88;  50,3;  259,2;  66,5;  47,8;  50,8;  90,0;  123,1;  30,6;  33,2;  34,7;  81,14;  20,00;;111;;;x;
Arcos de Valdevez;  9,6;  0,36;  55,4;  398,1;  62,0;  67,0;  53,8;  86,8;  89,7;x;x;x;x;x;;1111601;;;;x
Caminha;  9,4;  0,88;  51,4;  274,3;  61,5;  50,7;  51,0;  88,7;  104,3;x;x;x;x;x;;1111602;;;;x
Melgaço;  0,0;  0,59;  61,6;  586,1;  43,8;  87,9;  54,9;  83,6;  80,0;x;x;x;x;x;;1111603;;;;x
Monção;  23,7;  1,05;  54,7;  354,1;  53,4;  62,2;  51,4;  86,4;  98,9;x;x;x;x;x;;1111604;;;;x
Paredes de Coura;  17,6;  0,45;  51,7;  295,9;  59,7;  53,2;  52,6;  93,4;  77,3;x;x;x;x;x;;1111605;;;;x
Ponte da Barca;  5,3;  0,31;  51,4;  290,4;  69,4;  51,1;  53,0;  89,0;  112,5;x;x;x;x;x;;1111606;;;;x
Ponte de Lima;  4,3;  0,37;  48,2;  215,7;  75,8;  39,4;  51,7;  90,9;  141,9;x;x;x;x;x;;1111607;;;;x
Valença;  16,1;  1,78;  48,2;  216,7;  73,0;  43,2;  49,2;  90,6;  137,5;x;x;x;x;x;;1111608;;;;x
Viana do Castelo;  12,7;  1,11;  48,8;  219,5;  67,3;  42,0;  48,3;  90,8;  126,8;x;x;x;x;x;;1111609;;;;x
Vila Nova de Cerveira;  14,6;  1,82;  48,2;  236,7;  78,7;  43,5;  50,2;  97,3;  170,5;x;x;x;x;x;;1111610;;;;x
   Cávado;  11,4;  1,02;  45,4;  155,6;  81,7;  30,8;  45,0;  93,3;  115,2;  31,1;  32,0;  33,4;  82,26;  20,64;;112;;;x;
Amares;  12,7;  0,64;  46,0;  175,7;  84,6;  34,2;  47,3;  95,7;  120,0;x;x;x;x;x;;1120301;;;;x
Barcelos;  7,6;  0,47;  46,3;  168,6;  81,3;  31,2;  44,4;  93,9;  136,2;x;x;x;x;x;;1120302;;;;x
Braga;  15,0;  1,60;  44,4;  140,6;  82,1;  28,7;  43,5;  92,7;  111,4;x;x;x;x;x;;1120303;;;;x
Esposende;  5,8;  0,71;  45,3;  152,4;  78,7;  31,6;  45,1;  93,5;  149,5;x;x;x;x;x;;1120306;;;;x
Terras de Bouro;  18,2;  0,30;  52,3;  300,6;  62,4;  49,2;  51,1;  93,5;  58,3;x;x;x;x;x;;1120310;;;;x
Vila Verde;  7,8;  0,45;  45,7;  170,8;  85,0;  34,4;  50,1;  93,1;  94,5;x;x;x;x;x;;1120313;;;;x
   Ave;  7,2;  0,39;  46,9;  177,7;  74,2;  33,2;  43,6;  94,1;  128,3;  30,9;  32,7;  33,9;  81,69;  20,06;;119;;;x;
Cabeceiras de Basto;  3,5;  0,11;  47,6;  203,2;  75,2;  37,1;  49,1;  95,8;  142,9;x;x;x;x;x;;1190304;;;;x
Fafe;  9,3;  0,26;  48,0;  206,8;  71,9;  37,6;  44,9;  92,2;  140,4;x;x;x;x;x;;1190307;;;;x
Guimarães;  9,2;  0,45;  46,8;  171,4;  73,0;  32,0;  42,2;  94,4;  114,2;x;x;x;x;x;;1190308;;;;x
Mondim de Basto;  3,4;  0,11;  52,3;  303,2;  63,7;  48,6;  50,2;  94,3;  40,0;x;x;x;x;x;;1191705;;;;x
Póvoa de Lanhoso;  4,3;  0,41;  47,6;  192,6;  71,5;  35,9;  45,4;  94,6;  122,0;x;x;x;x;x;;1190309;;;;x
