;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal; 10 467 366; 5 001 811; 5 465 555; 1 351 011;  692 144;  658 867; 1 083 445;  554 203;  529 242;;PT;x;;;
 Continente; 9 974 165; 4 765 525; 5 208 640; 1 284 542;  658 145;  626 397; 1 026 589;  525 231;  501 358;;1;x;;;
  Norte; 3 631 502; 1 739 802; 1 891 700;  443 371;  227 281;  216 090;  379 788;  194 395;  185 393;;11;;x;;
   Alto Minho;  232 220;  109 976;  122 244;  25 748;  13 145;  12 603;  22 145;  11 381;  10 764;;111;;;x;
Arcos de Valdevez;  20 692;  9 615;  11 077;  1 895;   946;   949;  1 809;   903;   906;;1111601;;;;x
Caminha;  16 116;  7 575;  8 541;  1 761;   901;   860;  1 417;   726;   691;;1111602;;;;x
Melgaço;  7 603;  3 463;  4 140;   562;   279;   283;   504;   250;   254;;1111603;;;;x
Monção;  17 877;  8 287;  9 590;  1 747;   908;   839;  1 391;   689;   702;;1111604;;;;x
Paredes de Coura;  8 668;  4 187;  4 481;   910;   460;   450;   789;   411;   378;;1111605;;;;x
Ponte da Barca;  11 094;  5 225;  5 869;  1 157;   568;   589;  1 068;   560;   508;;1111606;;;;x
Ponte de Lima;  40 996;  19 521;  21 475;  4 746;  2 410;  2 336;  4 450;  2 301;  2 149;;1111607;;;;x
Valença;  13 900;  6 607;  7 293;  1 699;   880;   819;  1 325;   674;   651;;1111608;;;;x
Viana do Castelo;  86 099;  40 971;  45 128;  10 229;  5 260;  4 969;  8 487;  4 363;  4 124;;1111609;;;;x
Vila Nova de Cerveira;  9 175;  4 525;  4 650;  1 042;   533;   509;   905;   504;   401;;1111610;;;;x
   Cávado;  423 377;  204 312;  219 065;  55 633;  28 756;  26 877;  47 291;  24 227;  23 064;;112;;;x;
Amares;  19 191;  9 383;  9 808;  2 432;  1 289;  1 143;  2 180;  1 138;  1 042;;1120301;;;;x
Barcelos;  116 493;  56 424;  60 069;  14 395;  7 376;  7 019;  13 249;  6 863;  6 386;;1120302;;;;x
Braga;  197 594;  95 028;  102 566;  27 043;  13 960;  13 083;  21 867;  11 154;  10 713;;1120303;;;;x
Esposende;  36 287;  17 531;  18 756;  4 944;  2 582;  2 362;  3 930;  1 990;  1 940;;1120306;;;;x
Terras de Bouro;  6 362;  3 074;  3 288;   629;   328;   301;   648;   331;   317;;1120310;;;;x
Vila Verde;  47 450;  22 872;  24 578;  6 190;  3 221;  2 969;  5 417;  2 751;  2 666;;1120313;;;;x
   Ave;  419 876;  203 583;  216 293;  51 638;  26 689;  24 949;  44 947;  23 173;  21 774;;119;;;x;
Cabeceiras de Basto;  15 482;  7 576;  7 906;  1 820;   936;   884;  1 806;   944;   862;;1190304;;;;x
Fafe;  48 302;  23 177;  25 125;  5 637;  2 986;  2 651;  5 020;  2 579;  2 441;;1190307;;;;x
Guimarães;  156 277;  75 874;  80 403;  19 368;  10 050;  9 318;  16 556;  8 537;  8 019;;1190308;;;;x
Mondim de Basto;  6 407;  3 110;  3 297;   624;   333;   291;   665;   350;   315;;1191705;;;;x
Póvoa de Lanhoso;  22 299;  10 838;  11 461;  2 688;  1 409;  1 279;  2 469;  1 293;  1 176;;1190309;;;;x
Vieira do Minho;  11 967;  5 752;  6 215;  1 138;   585;   553;  1 143;   584;   559;;1190311;;;;x
Vila Nova de Famalicão;  134 883;  65 415;  69 468;  17 219;  8 784;  8 435;  14 609;  7 503;  7 106;;1190312;;;;x
Vizela;  24 259;  11 841;  12 418;  3 144;  1 606;  1 538;  2 679;  1 383;  1 296;;1190314;;;;x
   A. M. Porto; 1 774 104;  844 985;  929 119;  222 785;  113 883;  108 902;  183 878;  93 843;  90 035;;11A;;;x;
Arouca;  20 903;  10 078;  10 825;  2 586;  1 293;  1 293;  2 219;  1 088;  1 131;;11A0104;;;;x
Espinho;  31 778;  14 929;  16 849;  3 451;  1 718;  1 733;  3 066;  1 603;  1 463;;11A0107;;;;x
Gondomar;  166 900;  79 361;  87 539;  20 801;  10 510;  10 291;  17 621;  9 066;  8 555;;11A1304;;;;x
Maia;  140 041;  66 868;  73 173;  18 996;  9 655;  9 341;  15 267;  7 807;  7 460;;11A1306;;;;x
Matosinhos;  176 617;  83 557;  93 060;  22 119;  11 319;  10 800;  17 198;  8 738;  8 460;;11A1308;;;;x
Oliveira de Azeméis;  66 820;  32 501;  34 319;  7 722;  4 009;  3 713;  6 682;  3 313;  3 369;;11A0113;;;;x
Paredes;  85 342;  41 379;  43 963;  11 602;  5 895;  5 707;  10 448;  5 301;  5 147;;11A1310;;;;x
Porto;  240 592;  111 577;  129 015;  28 495;  14 571;  13 924;  23 014;  11 752;  11 262;;11A1312;;;;x
Póvoa de Varzim;  66 036;  31 382;  34 654;  8 652;  4 390;  4 262;  7 439;  3 842;  3 597;;11A1313;;;;x
Santa Maria da Feira;  138 344;  67 004;  71 340;  17 319;  8 909;  8 410;  14 474;  7 436;  7 038;;11A0109;;;;x
Santo Tirso;  67 630;  32 264;  35 366;  7 340;  3 764;  3 576;  6 612;  3 322;  3 290;;11A1314;;;;x
São João da Madeira;  23 280;  11 037;  12 243;  2 820;  1 483;  1 337;  2 399;  1 226;  1 173;;11A0116;;;;x
Trofa;  39 464;  19 045;  20 419;  4 926;  2 484;  2 442;  4 167;  2 121;  2 046;;11A1318;;;;x
Vale de Cambra;  21 214;  10 283;  10 931;  2 256;  1 182;  1 074;  1 909;   983;   926;;11A0119;;;;x
Valongo;  98 231;  46 839;  51 392;  13 111;  6 741;  6 370;  10 562;  5 337;  5 225;;11A1315;;;;x
Vila do Conde;  83 349;  40 136;  43 213;  11 323;  5 835;  5 488;  8 854;  4 509;  4 345;;11A1316;;;;x
Vila Nova de Gaia;  307 563;  146 745;  160 818;  39 266;  20 125;  19 141;  31 947;  16 399;  15 548;;11A1317;;;;x
   Alto Tâmega;  83 463;  39 986;  43 477;  7 545;  3 893;  3 652;  6 877;  3 468;  3 409;;11B;;;x;
Boticas;  4 899;  2 334;  2 565;   428;   217;   211;   368;   175;   193;;11B1702;;;;x
Chaves;  37 306;  17 782;  19 524;  3 671;  1 906;  1 765;  3 265;  1 666;  1 599;;11B1703;;;;x
Montalegre;  9 134;  4 446;  4 688;   678;   344;   334;   654;   326;   328;;11B1706;;;;x
Ribeira de Pena;  5 824;  2 890;  2 934;   581;   325;   256;   522;   261;   261;;11B1709;;;;x
Valpaços;  14 550;  6 887;  7 663;  1 190;   610;   580;  1 087;   557;   530;;11B1712;;;;x
Vila Pouca de Aguiar;  11 750;  5 647;  6 103;   997;   491;   506;   981;   483;   498;;11B1713;;;;x
   Tâmega e Sousa;  408 127;  197 799;  210 328;  50 922;  26 161;  24 761;  47 781;  24 546;  23 235;;11C;;;x;
