;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continuação);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal; 5 524 988; 2 674 971; 2 850 017; 2 507 922; 1 080 493; 1 427 429; 1 221 668;  489 070;  732 598;;PT;x;;;
 Continente; 5 248 130; 2 539 691; 2 708 439; 2 414 904; 1 042 458; 1 372 446; 1 181 064;  474 771;  706 293;;1;x;;;
  Norte; 1 958 705;  947 835; 1 010 870;  849 638;  370 291;  479 347;  394 238;  159 496;  234 742;;11;;x;;
   Alto Minho;  117 577;  57 028;  60 549;  66 750;  28 422;  38 328;  33 896;  13 370;  20 526;;111;;;x;
Arcos de Valdevez;  9 444;  4 648;  4 796;  7 544;  3 118;  4 426;  4 055;  1 551;  2 504;;1111601;;;;x
Caminha;  8 107;  3 869;  4 238;  4 831;  2 079;  2 752;  2 464;   975;  1 489;;1111602;;;;x
Melgaço;  3 243;  1 569;  1 674;  3 294;  1 365;  1 929;  1 810;   701;  1 109;;1111603;;;;x
Monção;  8 553;  4 129;  4 424;  6 186;  2 561;  3 625;  3 180;  1 215;  1 965;;1111604;;;;x
Paredes de Coura;  4 276;  2 187;  2 089;  2 693;  1 129;  1 564;  1 417;   555;   862;;1111605;;;;x
Ponte da Barca;  5 509;  2 672;  2 837;  3 360;  1 425;  1 935;  1 782;   722;  1 060;;1111606;;;;x
Ponte de Lima;  21 561;  10 502;  11 059;  10 239;  4 308;  5 931;  5 289;  2 063;  3 226;;1111607;;;;x
Valença;  7 194;  3 461;  3 733;  3 682;  1 592;  2 090;  1 811;   719;  1 092;;1111608;;;;x
Viana do Castelo;  44 928;  21 550;  23 378;  22 455;  9 798;  12 657;  10 851;  4 384;  6 467;;1111609;;;;x
Vila Nova de Cerveira;  4 762;  2 441;  2 321;  2 466;  1 047;  1 419;  1 237;   485;   752;;1111610;;;;x
   Cávado;  233 899;  113 152;  120 747;  86 554;  38 177;  48 377;  38 975;  15 922;  23 053;;112;;;x;
Amares;  10 307;  5 043;  5 264;  4 272;  1 913;  2 359;  2 021;   828;  1 193;;1120301;;;;x
Barcelos;  64 582;  31 565;  33 017;  24 267;  10 620;  13 647;  10 764;  4 310;  6 454;;1120302;;;;x
Braga;  110 663;  53 117;  57 546;  38 021;  16 797;  21 224;  16 527;  6 823;  9 704;;1120303;;;;x
Esposende;  19 880;  9 560;  10 320;  7 533;  3 399;  4 134;  3 399;  1 435;  1 964;;1120306;;;;x
Terras de Bouro;  3 194;  1 573;  1 621;  1 891;   842;  1 049;   967;   396;   571;;1120310;;;;x
