;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continua);;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal;  83 671;  42 925;  40 746;  50 329;  36 198;  124 311;  61 696;  62 615;   217;;PT;x;;;
 Continente;  79 845;  40 956;  38 889;  48 041;  34 533;  118 489;  58 831;  59 658;   208;;1;x;;;
  Norte;  26 375;  13 558;  12 817;  14 407;  10 144;  38 865;  19 257;  19 608;   63;;11;;x;;
   Alto Minho;  1 558;   794;   764;   895;   746;  3 286;  1 505;  1 781;   4;;111;;;x;
Arcos de Valdevez;   113;   50;   63;   53;   46;   362;   160;   202;   1;;1111601;;;;x
Caminha;   97;   43;   54;   56;   49;   211;   100;   111;0;;1111602;;;;x
Melgaço;   20;   10;   10;   13;   11;   187;   79;   108;0;;1111603;;;;x
Monção;   118;   64;   54;   80;   61;   317;   145;   172;0;;1111604;;;;x
Paredes de Coura;   45;   22;   23;   26;   25;   141;   66;   75;0;;1111605;;;;x
Ponte da Barca;   86;   39;   47;   43;   36;   175;   64;   111;0;;1111606;;;;x
Ponte de Lima;   287;   159;   128;   133;   105;   549;   256;   293;   3;;1111607;;;;x
Valença;   104;   59;   45;   65;   50;   200;   89;   111;0;;1111608;;;;x
Viana do Castelo;   628;   324;   304;   385;   328;  1 019;   486;   533;0;;1111609;;;;x
Vila Nova de Cerveira;   60;   24;   36;   41;   35;   125;   60;   65;0;;1111610;;;;x
   Cávado;  3 368;  1 737;  1 631;  1 625;  1 200;  3 720;  1 844;  1 876;   3;;112;;;x;
Amares;   123;   53;   70;   57;   39;   172;   95;   77;0;;1120301;;;;x
Barcelos;   841;   425;   416;   409;   287;  1 059;   546;   513;   2;;1120302;;;;x
Braga;  1 673;   865;   808;   797;   605;  1 536;   740;   796;0;;1120303;;;;x
Esposende;   338;   191;   147;   173;   127;   321;   148;   173;0;;1120306;;;;x
Terras de Bouro;   35;   15;   20;   18;   9;   106;   57;   49;0;;1120310;;;;x
Vila Verde;   358;   188;   170;   171;   133;   526;   258;   268;   1;;1120313;;;;x
   Ave;  3 239;  1 692;  1 547;  1 644;  1 176;  3 886;  1 966;  1 920;   11;;119;;;x;
Cabeceiras de Basto;   96;   52;   44;   58;   41;   216;   107;   109;   1;;1190304;;;;x
Fafe;   347;   185;   162;   186;   127;   522;   248;   274;   1;;1190307;;;;x
Guimarães;  1 203;   627;   576;   600;   416;  1 308;   653;   655;   2;;1190308;;;;x
Mondim de Basto;   39;   12;   27;   23;   18;   95;   55;   40;0;;1191705;;;;x
Póvoa de Lanhoso;   164;   92;   72;   74;   54;   259;   122;   137;   1;;1190309;;;;x
Vieira do Minho;   67;   36;   31;   35;   28;   169;   76;   93;0;;1190311;;;;x
Vila Nova de Famalicão;  1 106;   570;   536;   541;   408;  1 136;   608;   528;   6;;1190312;;;;x
Vizela;   217;   118;   99;   127;   84;   181;   97;   84;0;;1190314;;;;x
   A. M. Porto;  13 163;  6 742;  6 421;  7 521;  5 142;  18 089;  9 020;  9 069;   31;;11A;;;x;
Arouca;   141;   68;   73;   71;   62;   237;   110;   127;0;;11A0104;;;;x
Espinho;   226;   122;   104;   132;   91;   428;   204;   224;0;;11A0107;;;;x
Gondomar;  1 190;   585;   605;   769;   519;  1 694;   905;   789;   3;;11A1304;;;;x
Maia;  1 055;   539;   516;   591;   424;  1 178;   589;   589;   3;;11A1306;;;;x
Matosinhos;  1 257;   635;   622;   738;   501;  1 795;   924;   871;   2;;11A1308;;;;x
Oliveira de Azeméis;   465;   247;   218;   243;   200;   694;   321;   373;   1;;11A0113;;;;x
Paredes;   657;   332;   325;   353;   239;   695;   367;   328;   3;;11A1310;;;;x
Porto;  1 925;   975;   950;  1 108;   656;  3 083;  1 381;  1 702;   4;;11A1312;;;;x
Póvoa de Varzim;   521;   277;   244;   257;   187;   660;   329;   331;   0;;11A1313;;;;x
Santa Maria da Feira;  1 063;   563;   500;   566;   397;  1 268;   665;   603;   3;;11A0109;;;;x
Santo Tirso;   422;   216;   206;   245;   161;   750;   383;   367;   3;;11A1314;;;;x
São João da Madeira;   146;   69;   77;   86;   65;   238;   113;   125;0;;11A0116;;;;x
Trofa;   265;   134;   131;   136;   106;   332;   178;   154;0;;11A1318;;;;x
Vale de Cambra;   126;   70;   56;   67;   50;   289;   157;   132;   1;;11A0119;;;;x
Valongo;   711;   369;   342;   431;   300;   855;   444;   411;   3;;11A1315;;;;x
Vila do Conde;   649;   335;   314;   342;   261;   730;   388;   342;   1;;11A1316;;;;x
Vila Nova de Gaia;  2 344;  1 206;  1 138;  1 386;   923;  3 163;  1 562;  1 601;   4;;11A1317;;;;x
   Alto Tâmega;   405;   208;   197;   279;   222;  1 448;   702;   746;0;;11B;;;x;
Boticas;   32;   16;   16;   23;   18;   88;   46;   42;0;;11B1702;;;;x
Chaves;   194;   99;   95;   131;   111;   572;   291;   281;0;;11B1703;;;;x
Montalegre;   39;   26;   13;   26;   16;   189;   87;   102;0;;11B1706;;;;x
Ribeira de Pena;   34;   17;   17;   22;   14;   117;   54;   63;0;;11B1709;;;;x
Valpaços;   61;   26;   35;   44;   37;   265;   117;   148;0;;11B1712;;;;x
Vila Pouca de Aguiar;   45;   24;   21;   33;   26;   217;   107;   110;0;;11B1713;;;;x
   Tâmega e Sousa;  2 959;  1 521;  1 438;  1 389;   841;  3 965;  1 991;  1 974;   11;;11C;;;x;
Amarante;   359;   171;   188;   180;   85;   559;   291;   268;   2;;11C1301;;;;x
Baião;   74;   49;   25;   37;   26;   224;   106;   118;0;;11C1302;;;;x
Castelo de Paiva;   97;   42;   55;   49;   33;   152;   73;   79;   1;;11C0106;;;;x
Celorico de Basto;   102;   54;   48;   45;   37;   228;   106;   122;0;;11C0305;;;;x
Cinfães;   95;   42;   53;   55;   31;   228;   105;   123;0;;11C1804;;;;x
Felgueiras;   423;   236;   187;   188;   114;   451;   228;   223;   1;;11C1303;;;;x
Lousada;   407;   196;   211;   193;   117;   398;   213;   185;   1;;11C1305;;;;x
Marco de Canaveses;   336;   157;   179;   143;   90;   494;   234;   260;   1;;11C1307;;;;x
Paços de Ferreira;   449;   244;   205;   218;   138;   461;   247;   214;   4;;11C1309;;;;x
Penafiel;   549;   289;   260;   240;   136;   631;   318;   313;   1;;11C1311;;;;x
Resende;   68;   41;   27;   41;   34;   139;   70;   69;0;;11C1813;;;;x
   Douro;  1 069;   543;   526;   628;   483;  2 714;  1 345;  1 369;   3;;11D;;;x;
Alijó;   56;   27;   29;   39;   28;   179;   91;   88;0;;11D1701;;;;x
Armamar;   26;   11;   15;   11;   6;   111;   53;   58;0;;11D1801;;;;x
Carrazeda de Ansiães;   25;   15;   10;   17;   13;   95;   49;   46;0;;11D0403;;;;x
Freixo de Espada à Cinta;   20;   17;   3;   17;   16;   91;   45;   46;0;;11D0404;;;;x
Lamego;   128;   71;   57;   64;   50;   336;   168;   168;0;;11D1805;;;;x
Mesão Frio;   17;   9;   8;   10;   6;   56;   23;   33;0;;11D1704;;;;x
Moimenta da Beira;   67;   34;   33;   39;   32;   130;   65;   65;   1;;11D1807;;;;x
Murça;   16;   7;   9;   9;   9;   92;   46;   46;0;;11D1707;;;;x
Penedono;   15;   4;   11;   8;   6;   52;   32;   20;0;;11D1812;;;;x
Peso da Régua;   85;   43;   42;   51;   38;   186;   78;   108;   1;;11D1708;;;;x
Sabrosa;   34;   20;   14;   20;   16;   88;   39;   49;0;;11D1710;;;;x
Santa Marta de Penaguião;   25;   13;   12;   13;   10;   96;   41;   55;0;;11D1711;;;;x
