;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal;  36 952;  36 151;  26 374;  9 662;   413;   388;  67 694;  18 464;  49 230;  143 081;  79 149;  63 932;  781 247;  409 258;  371 989;;PT;x;;;
 Continente;  34 894;  34 141;  24 926;  9 104;   390;   363;  64 409;  17 330;  47 079;  140 088;  77 661;  62 427;  764 349;  400 835;  363 514;;1;x;;;
  Norte;  13 012;  12 832;  8 437;  4 355;   95;   85;  22 649;  6 371;  16 278;  26 393;  14 079;  12 314;  119 385;  60 068;  59 317;;11;;x;;
   Alto Minho;   822;   819;   512;   305;   1;   2;  1 653;   403;  1 250;  2 037;  1 124;   913;  9 187;  4 911;  4 276;;111;;;x;
Arcos de Valdevez;   52;   52;   44;   8;0;0;   167;   39;   128;   74;   35;   39;   393;   182;   211;;1111601;;;;x
Caminha;   64;   64;   47;   17;0;0;   112;   34;   78;   141;   72;   69;   747;   401;   346;;1111602;;;;x
Melgaço;   5;   5;   3;   2;0;0;   75;   13;   62;   45;   20;   25;   182;   78;   104;;1111603;;;;x
Monção;   59;   59;   38;   21;0;0;   152;   25;   127;   187;   93;   94;  1 014;   517;   497;;1111604;;;;x
Paredes de Coura;   17;   17;   9;   8;0;0;   59;   15;   44;   39;   17;   22;   208;   100;   108;;1111605;;;;x
