;;;;;;;;;;;;;;;;;
II.1.4 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2022;;;;;;;;;;;;;;;;;
II.1.4 - Foreign population with resident status according to main nationalities by municipality, 2022;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Portugal;  781 247;  239 676;  25 443;  36 582;  23 393;  31 614;  23 707;  45 218;  5 243;  22 226;  12 995;;PT;x;;;
 Continente;  764 349;  237 575;  25 140;  36 312;  23 126;  31 533;  23 632;  43 566;  5 220;  21 648;  12 775;;1;x;;;
  Norte;  119 385;  59 226;  3 168;  3 067;  1 349;  4 008;  1 069;  1 934;   172;  4 487;  1 546;;11;;x;;
   Alto Minho;  9 187;  3 761;   172;   158;   144;   131;   29;   300;   11;   213;   330;;111;;;x;
Arcos de Valdevez;   393;   127;   3;   18;   4;   4;   2;   28;0;   15;   14;;1111601;;;;x
Caminha;   747;   207;   4;   26;   7;   10;   1;   35;   1;   24;   8;;1111602;;;;x
Melgaço;   182;   92;   3;   1;0;0;0;   1;0;   5;   1;;1111603;;;;x
Monção;  1 014;   473;   39;   7;   12;   1;   2;   12;   2;   30;   11;;1111604;;;;x
Paredes de Coura;   208;   50;0;0;   1;   1;   1;   26;   2;   2;   2;;1111605;;;;x
Ponte da Barca;   163;   54;   1;   10;0;0;0;   16;0;   18;   7;;1111606;;;;x
Ponte de Lima;   669;   259;   7;   1;   6;   12;   7;   37;   1;   23;   6;;1111607;;;;x
Valença;  1 263;   559;   19;   21;   16;   5;   1;   32;   1;   12;   6;;1111608;;;;x
Viana do Castelo;  3 815;  1 775;   84;   72;   85;   81;   11;   79;   4;   72;   275;;1111609;;;;x
Vila Nova de Cerveira;   733;   165;   12;   2;   13;   17;   4;   34;0;   12;0;;1111610;;;;x
   Cávado;  19 947;  11 665;   537;   269;   307;   680;   126;   183;   26;   474;   157;;112;;;x;
Amares;   533;   298;   12;   1;   5;   7;0;   18;   4;   7;   35;;1120301;;;;x
Barcelos;  2 149;  1 146;   84;   88;   23;   112;   14;   12;   1;   60;   11;;1120302;;;;x
Braga;  14 915;  9 192;   388;   175;   262;   517;   111;   79;   13;   318;   74;;1120303;;;;x
Esposende;  1 301;   499;   27;   3;   5;   16;   1;   36;   4;   48;   19;;1120306;;;;x
Terras de Bouro;   92;   17;   1;0;   1;   1;0;   15;0;   6;0;;1120310;;;;x
Vila Verde;   957;   513;   25;   2;   11;   27;0;   23;   4;   35;   18;;1120313;;;;x
   Ave;  8 088;  3 924;   302;   156;   99;   232;   82;   77;   11;   339;   47;;119;;;x;
Cabeceiras de Basto;   169;   34;   5;   1;   2;   3;   1;   11;   1;   23;0;;1190304;;;;x
Fafe;   534;   281;   8;   10;   7;   13;0;   6;0;   46;   8;;1190307;;;;x
Guimarães;  3 307;  1 580;   61;   84;   59;   135;   51;   20;   3;   89;   12;;1190308;;;;x
Mondim de Basto;   59;   27;   1;0;0;   2;0;   1;0;   9;   1;;1191705;;;;x
Póvoa de Lanhoso;   441;   186;   7;   22;   23;   5;   1;   7;0;   36;0;;1190309;;;;x
Vieira do Minho;   164;   45;   2;0;0;   7;0;   6;   3;   14;0;;1190311;;;;x
Vila Nova de Famalicão;  3 102;  1 576;   216;   37;   7;   62;   29;   25;   4;   106;   26;;1190312;;;;x
Vizela;   312;   195;   2;   2;   1;   5;0;   1;0;   16;0;;1190314;;;;x
   A. M. Porto;  69 038;  35 237;  1 739;  1 244;   445;  2 470;   576;  1 201;   101;  2 834;   552;;11A;;;x;
Arouca;   150;   83;   1;0;   3;0;   2;   2;0;   8;   2;;11A0104;;;;x
Espinho;   937;   363;   39;   9;   21;   17;0;   15;0;   50;   5;;11A0107;;;;x
Gondomar;  3 718;  2 107;   99;   94;   49;   184;   33;   41;   5;   143;   54;;11A1304;;;;x
Maia;  4 541;  2 637;   213;   143;   25;   157;   35;   51;   2;   111;   85;;11A1306;;;;x
Matosinhos;  7 373;  4 076;   129;   100;   33;   148;   43;   190;   4;   256;   47;;11A1308;;;;x
Oliveira de Azeméis;  1 295;   695;   98;   6;   24;   28;   12;   15;   2;   28;   1;;11A0113;;;;x
Paredes;  1 158;   610;   44;   6;   4;   43;   1;   5;   2;   44;   3;;11A1310;;;;x
Porto;  23 312;  10 569;   194;   548;   116;   702;   246;   560;   34;   545;   165;;11A1312;;;;x
Póvoa de Varzim;  3 069;  1 783;   93;   15;   15;   37;   6;   25;   1;   231;   5;;11A1313;;;;x
Santa Maria da Feira;  2 228;  1 030;   145;   38;   31;   62;   4;   16;   11;   85;   38;;11A0109;;;;x
Santo Tirso;   758;   361;   35;   4;   6;   22;   6;   7;   2;   73;   6;;11A1314;;;;x
São João da Madeira;  1 208;   729;   84;   4;   3;   42;   2;   6;   4;   54;   8;;11A0116;;;;x
Trofa;  1 021;   482;   87;   13;   6;   14;   1;   9;   4;   29;   49;;11A1318;;;;x
Vale de Cambra;   551;   370;   40;   3;   5;   12;   1;   5;0;   18;   9;;11A0119;;;;x
Valongo;  2 095;  1 266;   85;   25;   12;   72;   8;   23;   3;   58;   14;;11A1315;;;;x
Vila do Conde;  3 252;  1 119;   52;   16;   9;   52;   9;   44;0;   837;   4;;11A1316;;;;x
Vila Nova de Gaia;  12 372;  6 957;   301;   220;   83;   878;   167;   187;   27;   264;   57;;11A1317;;;;x
   Alto Tâmega;  1 479;   572;   59;   6;   35;   29;   3;   18;0;   116;   5;;11B;;;x;
Boticas;   51;   18;0;0;0;0;0;   2;0;   9;   4;;11B1702;;;;x
Chaves;   835;   379;   23;   3;   19;   19;   1;   4;0;   57;0;;11B1703;;;;x
Montalegre;   111;   30;   10;   2;0;   2;   1;   4;0;   9;0;;11B1706;;;;x
Ribeira de Pena;   102;   34;0;0;   4;   2;0;   2;0;   7;0;;11B1709;;;;x
Valpaços;   193;   60;   17;   1;   7;   4;   1;   5;0;   17;0;;11B1712;;;;x
Vila Pouca de Aguiar;   187;   51;   9;0;   5;   2;0;   1;0;   17;   1;;11B1713;;;;x
   Tâmega e Sousa;  4 315;  1 951;   152;   44;   65;   164;   41;   99;   12;   177;   246;;11C;;;x;
Amarante;   558;   223;   22;   5;   35;   24;   5;   41;   1;   21;   2;;11C1301;;;;x
Baião;   143;   46;   2;0;   2;0;   1;   14;   1;   7;0;;11C1302;;;;x
Castelo de Paiva;   190;   57;0;0;   1;   5;0;0;0;   7;   61;;11C0106;;;;x
Celorico de Basto;   126;   38;   1;   1;   1;   2;0;0;0;   6;0;;11C0305;;;;x
Cinfães;   192;   75;   3;   5;   2;   9;0;   5;   2;   6;0;;11C1804;;;;x
Felgueiras;   547;   253;   17;   10;   5;   13;   4;   2;   1;   9;   20;;11C1303;;;;x
Lousada;   638;   284;   13;   4;   1;   30;   9;   3;   2;   20;   154;;11C1305;;;;x
Marco de Canaveses;   619;   236;   35;   2;   8;   38;   6;   15;   2;   22;0;;11C1307;;;;x
Paços de Ferreira;   532;   327;   5;   7;   2;   14;0;   1;   1;   39;   1;;11C1309;;;;x
Penafiel;   709;   401;   54;   10;   5;   29;   15;   16;   2;   31;   8;;11C1311;;;;x
Resende;   61;   11;0;0;   3;0;   1;   2;0;   9;0;;11C1813;;;;x
   Douro;  2 954;  1 089;   116;   83;   170;   97;   22;   35;   3;   205;   22;;11D;;;x;
Alijó;   89;   20;0;0;   7;   6;0;0;0;   12;0;;11D1701;;;;x
Armamar;   84;   16;   2;   1;0;0;0;   1;0;   7;0;;11D1801;;;;x
Carrazeda de Ansiães;   154;   33;0;   1;0;0;0;0;0;   10;0;;11D0403;;;;x
Freixo de Espada à Cinta;   118;   7;   2;0;   10;   6;0;0;0;   9;0;;11D0404;;;;x
Lamego;   174;   52;   8;   2;   6;   15;   1;   7;0;   10;   1;;11D1805;;;;x
Mesão Frio;   26;   4;0;0;   1;   1;   1;   1;0;   6;0;;11D1704;;;;x
Moimenta da Beira;   177;   57;   16;   17;0;   3;0;   1;0;   11;   2;;11D1807;;;;x
Murça;   62;   21;   3;0;0;   4;   4;0;0;   6;   1;;11D1707;;;;x
Penedono;   24;   9;0;   2;   1;0;0;0;0;   8;0;;11D1812;;;;x
Peso da Régua;   110;   44;   5;   7;   3;   1;   4;   2;0;   13;   6;;11D1708;;;;x
Sabrosa;   41;   16;0;   1;   1;0;0;   6;0;   8;0;;11D1710;;;;x
Santa Marta de Penaguião;   69;   5;0;   7;   42;0;0;0;0;   3;0;;11D1711;;;;x
São João da Pesqueira;   116;   22;   2;   24;   24;0;0;0;0;   2;   4;;11D1815;;;;x
Sernancelhe;   69;   17;   5;0;   4;0;0;0;0;   7;   1;;11D1818;;;;x
Tabuaço;   56;   21;   5;   1;0;   6;0;0;0;   8;0;;11D1819;;;;x
Tarouca;   69;   31;   3;   1;   1;0;   1;   1;0;   12;0;;11D1820;;;;x
Torre de Moncorvo;   95;   15;   1;0;   2;   3;0;   4;0;   10;0;;11D0409;;;;x
Vila Nova de Foz Côa;   151;   20;   35;0;   44;   1;   1;   1;0;   5;0;;11D0914;;;;x
Vila Real;  1 270;   679;   29;   19;   24;   51;   10;   11;   3;   58;   7;;11D1714;;;;x
   Terras de Trás-os-Montes;  4 377;  1 027;   91;  1 107;   84;   205;   190;   21;   8;   129;   187;;11E;;;x;
Alfândega da Fé;   155;   9;0;0;   5;   2;0;0;0;   7;0;;11E0401;;;;x
Bragança;  2 713;   672;   35;   930;   16;   168;   151;   11;   4;   47;   142;;11E0402;;;;x
Macedo de Cavaleiros;   304;   57;   20;0;   4;   2;   13;   2;   1;   15;   5;;11E0405;;;;x
Miranda do Douro;   124;   48;   3;   3;   1;0;0;   1;0;   5;0;;11E0406;;;;x
Mirandela;   637;   126;   28;   172;   8;   21;   26;   3;   3;   23;   40;;11E0407;;;;x
Mogadouro;   122;   33;0;0;   1;   7;0;   1;0;   13;0;;11E0408;;;;x
Vila Flor;   190;   25;   5;   2;   43;   1;0;0;0;   8;0;;11E0410;;;;x
Vimioso;   68;   30;0;0;   1;0;0;   1;0;   5;0;;11E0411;;;;x
Vinhais;   64;   27;0;0;   5;   4;0;   2;0;   6;0;;11E0412;;;;x
  Centro;  108 355;  39 475;  6 356;  1 892;  3 052;  3 519;  1 728;  7 891;   681;  3 067;  1 138;;16;;x;;
   Oeste;  26 835;  9 093;  1 593;   207;  1 057;   603;   494;  1 828;   441;   601;   151;;16B;;;x;
Alcobaça;  3 278;   833;   271;   39;   60;   52;   10;   329;   28;   122;   9;;16B1001;;;;x
Alenquer;  3 723;  1 985;   301;   39;   139;   197;   256;   20;   71;   53;   21;;16B1101;;;;x
Arruda dos Vinhos;   807;   540;   43;   7;   57;   5;   1;   5;   11;   26;   2;;16B1102;;;;x
Bombarral;   778;   160;   55;   10;   73;   55;   2;   76;   5;   21;   1;;16B1005;;;;x
Cadaval;   498;   102;   46;   7;   8;   2;   2;   57;   17;   9;   1;;16B1104;;;;x
Caldas da Rainha;  4 755;  1 456;   291;   27;   54;   121;   123;   579;   52;   95;   25;;16B1006;;;;x
Lourinhã;  1 961;   579;   136;   5;   75;   23;   17;   139;   19;   42;   3;;16B1108;;;;x
Nazaré;  1 290;   311;   27;   5;   21;   13;   1;   76;   10;   29;   51;;16B1011;;;;x
Óbidos;  1 131;   90;   43;   5;   25;   3;   5;   306;   5;   12;   1;;16B1012;;;;x
Peniche;  1 753;   477;   58;   38;   50;   27;   47;   105;   6;   43;   13;;16B1014;;;;x
Sobral de Monte Agraço;   481;   310;   31;   12;   16;   10;   3;   6;   8;   15;   5;;16B1112;;;;x
Torres Vedras;  6 380;  2 250;   291;   13;   479;   95;   27;   130;   209;   134;   19;;16B1113;;;;x
   Região de Aveiro;  16 704;  6 963;   872;   249;   166;   607;   350;   191;   55;   544;   308;;16D;;;x;
Águeda;  1 963;   863;   139;   29;   18;   41;   42;   18;   5;   36;   25;;16D0101;;;;x
Albergaria-a-Velha;   813;   331;   90;   4;   4;   21;   19;   11;   8;   17;   6;;16D0102;;;;x
Anadia;   901;   316;   85;   15;   10;   19;0;   21;   5;   20;   22;;16D0103;;;;x
Aveiro;  6 885;  3 035;   279;   139;   35;   382;   188;   55;   19;   270;   103;;16D0105;;;;x
Estarreja;   751;   175;   21;   5;   10;   8;   7;   5;0;   25;   3;;16D0108;;;;x
Ílhavo;  1 672;   720;   71;   18;   39;   42;   79;   15;   6;   47;   11;;16D0110;;;;x
Murtosa;   244;   70;   6;   1;   5;0;0;   6;0;   5;0;;16D0112;;;;x
Oliveira do Bairro;  1 161;   509;   82;   8;   15;   22;0;   12;   5;   31;   81;;16D0114;;;;x
Ovar;  1 225;   572;   59;   12;   19;   26;   3;   33;   5;   60;   4;;16D0115;;;;x
Sever do Vouga;   307;   139;   23;   10;   8;   34;   8;   7;   2;   9;   5;;16D0117;;;;x
Vagos;   782;   233;   17;   8;   3;   12;   4;   8;0;   24;   48;;16D0118;;;;x
   Região de Coimbra;  20 589;  6 717;   721;   467;   381;   734;   270;  2 286;   42;   566;   185;;16E;;;x;
Arganil;   860;   74;   9;   1;   4;   3;0;   397;0;   6;0;;16E0601;;;;x
Cantanhede;   854;   430;   70;   11;   22;   4;   6;   20;   1;   42;   9;;16E0602;;;;x
Coimbra;  9 034;  3 457;   215;   367;   134;   556;   228;   145;   8;   286;   123;;16E0603;;;;x
Condeixa-a-Nova;   405;   193;   57;   11;   5;   16;0;   9;0;   12;0;;16E0604;;;;x
Figueira da Foz;  3 366;  1 262;   187;   25;   60;   52;   6;   99;   8;   99;   16;;16E0605;;;;x
Góis;   291;   9;   2;0;   1;0;0;   180;0;   1;0;;16E0606;;;;x
Lousã;   609;   106;   11;   5;   28;   24;0;   198;   1;   12;   1;;16E0607;;;;x
Mealhada;   411;   199;   59;   4;   21;   15;   1;   9;   11;   4;   3;;16E0111;;;;x
Mira;   403;   222;   14;   5;   4;   9;0;   8;   6;   8;0;;16E0608;;;;x
Miranda do Corvo;   410;   65;   6;   7;   5;   8;   20;   134;   2;   13;   5;;16E0609;;;;x
Montemor-o-Velho;   395;   102;   21;   7;   13;   9;   1;   19;   1;   10;   17;;16E0610;;;;x
Mortágua;   387;   176;   4;   4;   3;   7;0;   75;0;   4;   3;;16E1808;;;;x
Oliveira do Hospital;   939;   99;   8;   1;   41;   10;   2;   247;0;   29;   4;;16E0611;;;;x
Pampilhosa da Serra;   41;   2;0;0;   2;0;0;   23;0;   1;0;;16E0612;;;;x
Penacova;   213;   46;   4;   1;0;   4;   1;   84;0;   7;   3;;16E0613;;;;x
Penela;   452;   35;   11;   5;   10;   3;   3;   191;   3;   4;   1;;16E0614;;;;x
Soure;   330;   108;   25;   9;   23;   3;   1;   45;   1;   10;0;;16E0615;;;;x
Tábua;   777;   48;   3;   2;   3;   8;   1;   265;0;   14;0;;16E0616;;;;x
Vila Nova de Poiares;   412;   84;   15;   2;   2;   3;0;   138;0;   4;0;;16E0617;;;;x
   Região de Leiria;  17 728;  7 561;  1 819;   327;   586;   291;   94;  1 184;   73;   489;   95;;16F;;;x;
Alvaiázere;   509;   21;   11;   3;   1;   1;   3;   321;0;   7;0;;16F1002;;;;x
Ansião;   446;   58;   20;   8;   10;   6;   2;   196;0;   16;   1;;16F1003;;;;x
